record_type	record_id	name_or_label	status	verification_verdict	evidence_count	evidence_kinds	needs_action
venue	vrec_631e9af0ade2	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ba5731b814fb	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_71c10a556ac6	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f6fe9c3b0823	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_e11fc6d8d131	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_825c9ac9ce3b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d89b2e15bf6b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1df8be3c4a71	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b7f381adb1e1	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_182fd30ce25f	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_22e0a58ee143	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_062ea0cb51c4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_9d28c769487c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_91228059ead3	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2127cab62563	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_826c1e4f1bf2	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c3582dbfafdc	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_6246cac9c715	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ffe333d9aa77	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_84b592ec00d8	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_513c542af184	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f4fcb7d3b13c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_43b0b4476829	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bfe9a62ebf4c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a90d731e5f78	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_343fc2b1fc36	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ba5424473b82	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7dff95adf4c8	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2ffab471d2d2	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4d286e4f74ed	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b5b1a5f24313	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a057a62b591a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3063003d8743	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b53f19bd51c1	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3efc6ec6938a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0d82b483db3f	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0b924335a094	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_23e6fb139a34	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_264aca8e9871	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_72d0ad864084	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ae24cfd970a3	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_516171351bd3	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_fb62588840ea	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c64046acff11	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b0233bf4e1a4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1190a48ac21e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_be7dd753a80b	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_08928c61f8d0	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2f7b4ea8d4a4	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7e84581a63a4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0d227d01a41c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_452397dfc25e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_27f38e8e5527	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_cadfcd9394a5	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7496f80bd6cd	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4fb6902a2210	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_8e092658e269	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_82d4108e4b1c	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0adbd640123b	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_df5670ec2ed6	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_db0dac61f21a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ad50c93aadb5	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_12cc2b4ea43f	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_608673f49187	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_9ee542805783	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_672b494f6425	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_707e6c58dbec	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_010aaa5bd885	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_59cb7cbcb8a3	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f9637708acad	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_659d8ddf4fb8	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_199bda5793ea	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_63672a09a3e3	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_6d0c0e6ab208	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f02eddc6fb32	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bb6a39d60678	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_6cc2c73f98da	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c02149f82327	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c7092694b4e2	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_622694ef0f3f	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ba49fa978602	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_183c4bb2bd1b	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_95f3faebe397	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4e0e4d616b1c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a8ce0526e07e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3a5b48800a63	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7531dade449e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0bc7ab1873cd	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_94531ea3090a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4b037d876eab	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bd13c6d8ee86	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7448592a2a32	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3f7aeff7133d	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_76ef0d85f44e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d715c1f6c8a1	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d6c7dcf616c0	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2d85800f36dc	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_15abaddd1bf0	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_510a6bff35e4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0fb6509b4629	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2ae24af265a6	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c7165c4347cb	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d5ff7e0686cb	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_9d56c3938e9a	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c19def82b5bf	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7aefb62eff55	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_9c46757aa007	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7b8e09ecf0cb	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1d4f4dc6663a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b132923806ac	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7446d3532d9e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_8d4ebf7e3ff8	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_eafc161fc727	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_30e3caeeda12	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c72f857d0e08	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_fb46b6e6b996	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3ace3520ba74	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_50c8e4320d42	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a4ff9e62cb04	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3323b2982877	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_13668844d95a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_99be81a8e68c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bcae83f4eea4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3f284d08dc1e	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_482aef25df24	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_38f1a2405a85	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bcd03fdad415	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_8ff160d1037d	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_034da3071fdc	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_eb88a9716593	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c1a4d910d687	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3afe6c93999a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a0d222245ff2	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c0fef2d5f8d8	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bf24f3df2a62	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_810ac0e1d88d	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_da0a8d47a47e	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_e01c3243b44b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_be4064e12df2	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0cd5edf8dc2b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_704f988d044c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_94f4c0736592	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_37ee3b7dd87d	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bd0ca350e972	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_74558c17c669	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f5af317e896f	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c50075cbb2f3	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_8477348905ec	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_aad809ceef73	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_282ac7c0582a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_e10d6394efc9	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1a0fd9955c10	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_85bb4fa73029	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0576daf72e5e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_22a7b798b1ed	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b1200aa7c5c9	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c43d3ad3fe4b	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0e32de11af02	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_6dcd68474b1f	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_17df0c5bbb63	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_94fab5524b62	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c033470479ef	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f10481786f6f	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_e5f6e7930f92	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a1c145e54e8f	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_322135166e01	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_5871c9a66c6e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_e982fdfb543b	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_6026671cfd3c	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_fb5a675d41c7	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ff3a75cdf2df	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_743471f35827	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_be18f11223d9	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_e1a916b32f42	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_559e183431dd	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b8a382c814fb	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_460ce04c0129	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_38ed47d97e77	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_565ad006c461	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a08663abb3d0	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c346f5ff0ac2	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_40a0aaf3cd0b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0e038abc8b56	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b9d4def004b2	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f8eb933c54ce	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d1813571cf6b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c6ff96cb3abc	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_44eb13844a4f	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_75b43d08d7ac	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c2cd13c8e5a4	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_02754e30571a	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b54562dd398b	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_56502f5a9131	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ec1473ef9535	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1668287f9d33	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_85d34696f139	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_89ed08b81ff5	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_06d29c52e476	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_653397d4f9d0	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b64f7a999ed9	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_037b34df0081	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_994c9c2c3ddc	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a1f45a6e57a1	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1c86291d5088	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7dbc97a8e0d2	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3fb1618473d0	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_81bb3f159257	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c826ac823934	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4e40963e875e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f531fee66a4a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_06589273758e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d2e625f2e396	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d0dc175044f1	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_9f0e091bc4df	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b079d158b84b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_9ce8763fc85b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_8d33148ecbb9	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bd7324e4eb8a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_9c0de03d9e1f	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0c0a90ec3279	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_97196f3a17e9	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4096071dfa56	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_86692cc2e31f	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1a9b929856cb	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_8a941f024710	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2e97b8f99b33	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1a2819d2113c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_6accc4c434f2	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_5be02063b03c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c47d2e7be3ba	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b1058da60d1b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_baaee60f0e0c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b518928c24f4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3a5e5c890fd0	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c4db94ecf3b5	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4d3699ef3bfe	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_40094207ea13	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4cfac70ffd47	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f1e7a9260448	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_5d3c0d1c32cf	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4eb52e66c4af	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_74df721b2606	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_33a50d527b56	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_eb4d181dcdaa	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_aa460c3d5247	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0f03553a13a3	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7efcaa04ccc5	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c555579cf805	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4071eb0dbf79	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d1af7ea91594	Journal of X	provisional	keep_provisional	1	llm_inference	yes
